,,part_c_academic_score_avarage,part_c_psychological_score_avarage,part_c_social_score_avarage,part_d_problem_focued_avarage,part_d_emotion_focused_avarage,part_d_avoidant_avarage,part_d_active_coping_avarage,part_d_use_of_informational_support_avarage,part_d_positive_reframing_avarage,part_d_planing_avarage,part_d_emotional_support_avarage,part_d_venting_avarage,part_d_humor_avarage,part_d_acceptance_avarage,part_d_religion_avarage,part_d_self_blame_avarage,part_d_self_distraction_avarage,part_d_denial_avarage,part_d_substance_use_avarage,part_d_behavioral_disengagement_avarage
,High_upper,4.153194089,4.420659583,3.735000762,2.487340459,3.126896504,2.052526886,2.649621961,2.476369672,2.39077342,2.481055725,3.160489137,3.117191263,2.398878614,3.245282268,3.501912405,3.438801206,3.390340899,1.460859372,1.405750849,2.01702176
,High_lower,4.083110959,4.341245179,3.577029314,2.420554278,3.014707506,1.964390407,2.568423151,2.373254388,2.300955904,2.391124727,3.027480788,2.973034301,2.187587551,3.123138785,3.340192858,3.335634884,3.271313236,1.336133109,1.293497271,1.892752676
,Moderate_upper,3.225739537,3.261200972,3.090312946,2.852966905,2.531833212,2.277132553,2.888610723,2.804437606,2.895277978,2.85846649,2.599282989,2.519432236,2.368168428,2.914616766,2.539171629,2.348665656,2.774696445,2.21209529,1.831474254,2.347133234
,Moderate_lower,3.107970232,3.134055945,2.968975592,2.757210961,2.440828184,2.172966261,2.781349752,2.683704687,2.786540204,2.742324024,2.479768394,2.397563812,2.226693232,2.806727108,2.415373826,2.220504305,2.664038733,2.070513405,1.686312307,2.214131588
,low_upper,2.288554504,2.32904764,2.523804129,2.543404709,2.104589514,1.705439027,2.564432135,2.389266634,2.752536588,2.547145019,2.262975414,1.940185102,1.847956459,3.230111826,2.127173838,1.407950534,2.249985093,1.538392669,1.31694318,1.84084546
,low_lower,2.165227009,2.180756282,2.387960577,2.456595291,2.052273231,1.632796267,2.435567865,2.25779219,2.659228118,2.394031451,2.148789292,1.82452078,1.740278835,3.122829351,1.990473221,1.297931819,2.102956084,1.402783802,1.212468584,1.688566305
